video_number,accident_frame,scene_complexity
3,31,8
18,40,8
23,38,7
31,32,8
33,33,7
39,30,12
48,44,7
59,32,7
66,30,6
74,30,9
78,30,6
83,35,13
87,42,10
109,30,8
115,33,6
130,32,7
136,35,6
137,37,6
142,30,8
156,33,6
157,43,7
159,32,8
161,32,7
163,34,10
166,30,7
167,30,7
177,30,13
179,30,10
181,30,9
182,30,9
185,30,8
187,30,7
188,30,9
190,30,10
191,30,6
193,30,7
198,30,9
199,30,7
202,30,9
206,30,6
214,30,9
215,30,7
220,37,7
234,31,7
243,31,6
244,44,8
246,30,6
247,47,6
250,35,7
251,36,9
255,35,9
256,31,6
259,37,8
260,36,7
264,40,9
267,30,11
274,39,6
276,30,6
278,37,8
286,45,6
300,38,8
306,34,9
309,39,7
325,42,6
326,30,7
340,32,7
343,36,8
349,37,9
350,42,9
352,40,7
360,39,7
363,33,7
365,34,8
371,36,6
379,45,6
391,33,10
394,41,8
404,32,8
407,40,7
409,31,8
416,31,10
425,30,7
426,30,7
427,41,7
428,37,8
430,49,8
432,43,6
435,33,11
440,30,7
445,33,10
462,45,7
464,37,7
465,30,8
474,41,6
477,38,8
487,39,6
491,31,6
499,30,11
500,38,10
501,34,8
539,35,13
565,31,7
572,34,10
573,32,7
575,42,7
578,36,7
579,32,6
582,37,7
588,41,7
597,34,7
599,38,9
601,35,9
604,34,7
610,45,7
614,32,6
615,41,8
618,32,6
629,47,9
632,38,8
639,32,11
655,47,6
659,31,9
664,41,11
667,38,7
668,45,8
669,33,6
678,48,8
685,45,7
691,38,6
692,32,6
695,39,8
713,41,8
715,39,14
722,30,7
723,39,8
726,40,7
727,42,9
728,32,7
729,35,10
733,30,6
735,30,7
738,35,10
743,32,10
744,30,7
748,38,8
750,34,7
753,47,6
760,49,12
764,34,11
765,39,14
770,33,8
773,34,13
775,38,6
783,37,7
789,47,8
791,38,6
792,34,11
794,38,8
796,49,6
797,41,6
799,40,9
802,40,10
803,36,11
804,30,7
806,35,8
807,31,8
808,31,7
811,30,13
815,42,6
818,36,6
819,33,9
820,46,8
822,45,8
824,30,7
830,38,9
834,30,7
835,32,10
836,38,10
838,31,13
840,41,6
843,32,7
846,30,7
847,44,7
850,33,10
851,42,8
857,35,8
859,40,7
860,35,6
864,36,7
867,32,9
875,36,6
876,30,9
877,34,10
878,34,8
879,30,6
887,40,8
891,30,8
892,42,9
897,35,13
901,30,7
902,30,11
908,31,9
910,30,8
913,32,8
914,30,7
918,34,6
919,32,8
924,30,6
925,31,10
926,30,7
927,30,6
928,30,10
929,35,11
938,40,6
942,34,10
944,30,12
946,41,6
947,30,6
955,31,7
967,31,6
968,32,8
969,32,7
971,40,6
975,31,7
976,40,12
980,32,8
982,33,8
986,43,9
988,36,7
992,36,10
996,44,10
1000,32,8
1002,30,6
1004,31,8
1017,33,7
1024,35,9
1033,42,9
1034,40,9
1037,43,6
1045,36,9
1049,37,9
1054,38,7
1063,35,15
1064,43,9
1070,31,7
1073,39,10
1074,31,10
1081,39,7
1085,31,6
1092,44,7
1094,36,6
1098,40,10
1103,42,6
1108,48,7
1114,38,9
1126,36,6
1132,36,10
1138,33,7
1141,36,9
1146,47,8
1148,31,12
1157,34,6
1162,30,8
1168,41,7
1169,30,12
1178,31,7
1181,42,7
1184,34,6
1189,39,8
1191,43,12
1207,36,9
1210,35,6
1218,33,8
1219,39,8
1221,40,6
1223,33,12
1228,40,9
1231,41,7
1232,31,9
1237,30,8
1242,38,6
1246,43,9
1247,36,8
1256,34,14
1265,36,8
1275,30,9
1276,31,13
1282,40,6
1283,44,6
1284,33,6
1287,37,8
1290,30,6
1293,42,7
1294,30,7
1295,37,10
1300,35,8
1301,31,9
1303,34,6
1308,31,7
1309,36,7
1312,34,6
1314,38,9
1316,38,8
1317,32,6
1321,30,7
1325,30,9
1337,32,8
1340,32,8
1342,42,8
1344,30,7
1345,32,7
1346,35,6
1347,30,9
1349,33,9
1354,32,7
1355,42,6
1359,42,7
1361,40,6
1362,30,10
1363,33,6
1365,30,13
1366,30,12
1367,31,6
1370,30,8
1378,30,10
1379,38,6
1386,32,9
1387,38,6
1390,30,6
1394,33,8
1399,35,6
1406,36,10
1421,43,7
1427,30,10
1428,37,7
1430,30,8
1437,36,6
1452,32,8
1454,37,9
1455,35,6
1475,30,6
1476,34,10
1482,38,8
1484,45,6
